FieldId,Position,FieldLength,FieldName
f00001,1,1.0,Blank
f00002,2,5.0,Header - FIPS St and Cty Code
f00003,7,5.0,Entity of File
f00004,12,20.0,Secondary Entity Of File
f00005,32,4.0,Date of File
f00006,36,5.0,Date of Creation
f00007,41,5.0,File Length
f00008,46,19.0,State Name
f00010,67,25.0,County Name
f00011,122,2.0,FIPS State Code
f00012,124,3.0,FIPS County Code
f0002013,344,2.0,Rural-Urban Continuum Code 2013
f00023,160,2.0,Federal Region Code
f0017970,16998,7.0,Census Population (100's) 1970
f0081176,32600,5.0,Elevation Feet 1976
f0355304,362,3.0,BEA Economic Area Code 2004
f0355404,368,51.0,BEA Economic Area Name 2004
f04101,494,5.0,Contiguous County # 1
f04102,499,5.0,Contiguous County # 2
f04103,504,5.0,Contiguous County # 3
f04104,509,5.0,Contiguous County # 4
f04105,514,5.0,Contiguous County # 5
f04106,519,5.0,Contiguous County # 6
f04107,524,5.0,Contiguous County # 7
f04108,529,5.0,Contiguous County # 8
f04109,534,5.0,Contiguous County # 9
f04110,539,5.0,Contiguous County # 10
f04111,544,5.0,Contiguous County # 11
f04112,549,5.0,Contiguous County # 12
f04113,554,5.0,Contiguous County # 13
f04114,559,5.0,Contiguous County # 14
f04437,92,30.0,County Name w/State Abbrev
f04439,127,1.0,Census Region Code
f04440,141,1.0,Census Division Code
f04448,128,13.0,Census Region Name
f04449,142,18.0,Census Division Name
f0453000,16972,8.0,Census Population 2000
f0453010,16924,8.0,Census Population 2010
f0453110,19696,8.0,White Population 2010
f0453210,19704,8.0,Black/African American Pop 2010
f0453310,19712,8.0,Am Indian/Alaska Native Pop 2010
f0453510,20167,8.0,Some Other Race Population 2010
f0453610,20183,8.0,Hispanic/Latino Population 2010
f0453710,19624,4.1,Percent White Population 2010
f0453810,19628,4.1,Percent Black/African Am Pop 2010
f0453910,19632,4.1,Percent Am Ind/Alaska Natve Pop 2010
f0454110,19644,4.1,Percent Some Other Population 2010
f0454210,19652,4.1,Percent Hispanic/Latino Pop 2010
f0460200,951,5.0,"Total M.D.'s, Total Non-Fed 2000"
f0460205,946,5.0,"Total M.D.'s, Total Non-Fed 2005"
f0460210,941,5.0,"Total M.D.'s, Total Non-Fed 2010"
f0460211,936,5.0,"Total M.D.'s, Total Non-Fed 2011"
f0460212,931,5.0,"Total M.D.'s, Total Non-Fed 2012"
f0460213,926,5.0,"Total M.D.'s, Total Non-Fed 2013"
f0460214,921,5.0,"Total M.D.'s, Total Non-Fed 2014"
f0460215,916,5.0,"Total M.D.'s, Total Non-Fed 2015"
f0460216,911,5.0,"Total M.D.'s, Total Non-Fed 2016"
f0460217,906,5.0,"Total M.D.'s, Total Non-Fed 2017"
f0460218,901,5.0,"Total M.D.'s, Total Non-Fed 2018"
f0460219,896,5.0,"Total M.D.'s, Total Non-Fed 2019"
f0460305,1066,5.0,"M.D.'s, PC, Off Based Non-Fed 2005"
f0460310,1061,5.0,"M.D.'s, PC, Off Based Non-Fed 2010"
f0460311,1056,5.0,"M.D.'s, PC, Off Based Non-Fed 2011"
f0460312,1051,5.0,"M.D.'s, PC, Off Based Non-Fed 2012"
f0460313,1046,5.0,"M.D.'s, PC, Off Based Non-Fed 2013"
f0460314,1041,5.0,"M.D.'s, PC, Off Based Non-Fed 2014"
f0460315,1036,5.0,"M.D.'s, PC, Off Based Non-Fed 2015"
f0460316,1031,5.0,"M.D.'s, PC, Off Based Non-Fed 2016"
f0460317,1026,5.0,"M.D.'s, PC, Off Based Non-Fed 2017"
f0460318,1021,5.0,"M.D.'s, PC, Off Based Non-Fed 2018"
f0460319,1016,5.0,"M.D.'s, PC, Off Based Non-Fed 2019"
f0460505,1199,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2005"
f0460510,1195,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2010"
f0460511,1191,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2011"
f0460512,1187,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2012"
f0460513,1183,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2013"
f0460514,1179,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2014"
f0460515,1175,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2015"
f0460516,1171,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2016"
f0460517,1167,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2017"
f0460518,1163,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2018"
f0460519,1159,4.0,"M.D.'s, Total PC, Hosp FT Staff Non-Fed 2019"
f0460605,1277,3.0,"M.D.'s, Total Administration Non-Fed 2005"
f0460610,1274,3.0,"M.D.'s, Total Administration Non-Fed 2010"
f0460611,1271,3.0,"M.D.'s, Total Administration Non-Fed 2011"
f0460612,1268,3.0,"M.D.'s, Total Administration Non-Fed 2012"
f0460613,1265,3.0,"M.D.'s, Total Administration Non-Fed 2013"
f0460614,1262,3.0,"M.D.'s, Total Administration Non-Fed 2014"
f0460615,1259,3.0,"M.D.'s, Total Administration Non-Fed 2015"
f0460616,1256,3.0,"M.D.'s, Total Administration Non-Fed 2016"
f0460617,1253,3.0,"M.D.'s, Total Administration Non-Fed 2017"
f0460618,1250,3.0,"M.D.'s, Total Administration Non-Fed 2018"
f0460619,1247,3.0,"M.D.'s, Total Administration Non-Fed 2019"
f0460705,1310,3.0,"M.D.'s, Total Teaching Non-Fed 2005"
f0460710,1307,3.0,"M.D.'s, Total Teaching Non-Fed 2010"
f0460711,1304,3.0,"M.D.'s, Total Teaching Non-Fed 2011"
f0460712,1301,3.0,"M.D.'s, Total Teaching Non-Fed 2012"
f0460713,1298,3.0,"M.D.'s, Total Teaching Non-Fed 2013"
f0460714,1295,3.0,"M.D.'s, Total Teaching Non-Fed 2014"
f0460715,1292,3.0,"M.D.'s, Total Teaching Non-Fed 2015"
f0460716,1289,3.0,"M.D.'s, Total Teaching Non-Fed 2016"
f0460717,1286,3.0,"M.D.'s, Total Teaching Non-Fed 2017"
f0460718,1283,3.0,"M.D.'s, Total Teaching Non-Fed 2018"
f0460719,1280,3.0,"M.D.'s, Total Teaching Non-Fed 2019"
f0460905,1376,3.0,"M.D.'s, Total Other Non-Fed 2005"
f0460910,1373,3.0,"M.D.'s, Total Other Non-Fed 2010"
f0460911,1370,3.0,"M.D.'s, Total Other Non-Fed 2011"
f0460912,1367,3.0,"M.D.'s, Total Other Non-Fed 2012"
f0460913,1364,3.0,"M.D.'s, Total Other Non-Fed 2013"
f0460914,1361,3.0,"M.D.'s, Total Other Non-Fed 2014"
f0460915,1358,3.0,"M.D.'s, Total Other Non-Fed 2015"
f0460916,1355,3.0,"M.D.'s, Total Other Non-Fed 2016"
f0460917,1352,3.0,"M.D.'s, Total Other Non-Fed 2017"
f0460918,1349,3.0,"M.D.'s, Total Other Non-Fed 2018"
f0460919,1346,3.0,"M.D.'s, Total Other Non-Fed 2019"
f0461010,1387,4.0,"MD's, Total Gen Pract, Total Non-Fed 2010"
f0461015,1383,4.0,"MD's, Total Gen Pract, Total Non-Fed 2015"
f0461019,1379,4.0,"MD's, Total Gen Pract, Total Non-Fed 2019"
f0461310,1462,2.0,"MD's,Tot Gen Prac,PC,Hsp FT Stf Non-Fed 2010"
f0461315,1459,3.0,"MD's,Tot Gen Prac,PC,Hsp FT Stf Non-Fed 2015"
f0461319,1456,3.0,"MD's,Tot Gen Prac,PC,Hsp FT Stf Non-Fed 2019"
f0461410,1470,2.0,"MD's, Tot Gen Pract, Administ Non-Fed 2010"
f0461415,1467,3.0,"MD's, Tot Gen Pract, Administ Non-Fed 2015"
f0461419,1464,3.0,"MD's, Tot Gen Pract, Administ Non-Fed 2019"
f0461510,1478,2.0,"MD's, Tot Gen Pract, Teaching Non-Fed 2010"
f0461515,1475,3.0,"MD's, Tot Gen Pract, Teaching Non-Fed 2015"
f0461519,1472,3.0,"MD's, Tot Gen Pract, Teaching Non-Fed 2019"
f0461710,1494,2.0,"MD's, Tot Gen Pract, Other Non-Fed 2010"
f0461715,1491,3.0,"MD's, Tot Gen Pract, Other Non-Fed 2015"
f0461719,1488,3.0,"MD's, Tot Gen Pract, Other Non-Fed 2019"
f0461810,1718,4.0,"Med Spec Tot, Total Non-Fed 2010"
f0461815,1713,5.0,"Med Spec Tot, Total Non-Fed 2015"
f0461819,1708,5.0,"Med Spec Tot, Total Non-Fed 2019"
